LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,Ferroglobus placidus DSM 10642 | ADC64491
2,Halosimplex carlsbadense 2-9-1 | ELZ22299
3,Haloferax denitrificans ATCC 35960 | EMA07962
4,Aeropyrum camini SY1 = JCM 12091 | BAN90287
5,Sulfolobus islandicus M.16.27 | ACP54775
6,Pyrobaculum aerophilum str. IM2 | AAL65042
7,Vulcanisaeta distributa DSM 14429 | ADN50827
8,Proteobacteria bacterium CAG:139 | CDA43875
9,Acidobacteria bacterium OLB17 | KXK06953
10,Desulfurispirillum indicum S5 | ADU67158
11,Deferribacter desulfuricans SSM1 | BAI81537
12,Denitrovibrio acetiphilus DSM 12809 | ADD68833
13,Macellibacteroides sp. HH-ZS | OCW93424
14,Chlorobi bacterium OLB4 | KXK05783
15,Chlorobi bacterium OLB6 | KXK34846
16,Omnitrophica bacterium OLB16 | KXK31706
17,Acidithiobacillus thiooxidans | OCX88457
18,Acidithiobacillus caldus ATCC 51756 | AIA55618
19,Asticcacaulis sp. AC460 | ESQ88094
20,Phenylobacterium zucineum HLK1 | ACG77099
21,Caulobacteraceae bacterium OTSz_A_272 | ANP46008
22,uncultured SAR11 cluster alpha proteobacterium | ANY93556
23,Methylocella silvestris BL2 | ACK50460
24,Bosea vaviloviae | KPH80391
25,Bradyrhizobium sp. STM 3843 | CCE09484
26,Nitrobacter hamburgensis X14 | ABE63726
27,Brucella canis 04-2330-1 | ERU06751
28,Hyphomicrobium denitrificans ATCC 51888 | ADJ22740
29,Methylobacterium sp. 4-46 | ACA19976
30,Mesorhizobium sp. Root695 | KRB13549
31,Paramesorhizobium deserti | KXF74829
32,Hyphomonas oceanitis SCH89 | KDA00978
33,Maricaulis maris MCS10 | ABI66992
34,Jannaschia rubra | CTQ34345
35,Paracoccus sp. MKU1 | KRW96099
36,Thioclava sp. DT23-4 | KEO56865
37,Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471 | GAB31980
38,Acidiphilium sp. PM | EGO94383
39,Commensalibacter intestini A911 | EHD13475
40,Oceanibaculum indicum P24 | EKE78977
41,Thalassospira tepidiphila MCCC 1A03514 | OAZ11827
42,Tistrella mobilis | KYO53154
43,Sphingomonas sp. Ag1 | KKI20764
44,Sphingomonadales bacterium BRH_c3 | KUO49197
45,Micavibrio aeruginosavorus EPB | AGH97652
46,Achromobacter sp. ATCC31444 | CUJ68721
47,Basilea psittacipulmonis DSM 24701 | AIL32826
48,Bordetella petrii | CAP44172
49,Bordetella trematum | SAI60541
50,Castellaniella defragrans 65Phen | CDM25593
51,Burkholderia sp. HB1 | ALE57320
52,Burkholderia sp. ST111 | KPD15543
53,Burkholderia cepacia | AKE02066
54,Burkholderia ubonensis | KVD10728
55,Lautropia mirabilis ATCC 51599 | EFV94525
56,Paraburkholderia phymatum STM815 | ACC75231
57,Acidovorax avenae subsp. avenae ATCC 19860 | ADX44553
58,Delftia sp. Cs1-4 | AEF92375
59,Ramlibacter tataouinensis | AMO24778
60,Comamonadaceae bacterium B1 | BAO82319
61,Janthinobacterium sp. CG23_2 | CUU26921
62,Sutterella sp. CAG:351 | CDE52297
63,Tepidimonas fonticaldi | OBS31107
64,Thiomonas sp. CB2 | CDW94461
65,Thiomonas sp. CB3 | CQR42930
66,Pseudogulbenkiania sp. NH8B | BAK77490
67,Amantichitinum ursilacus | KPC52487
68,Neisseria bacilliformis ATCC BAA-1200 | EGF10280
69,Neisseria wadsworthii 9715 | EGZ44688
70,Snodgrassella alvi | KDN14757
71,Thiobacillus denitrificans | KVW96029
